seed,economy,perm_id,HHI,chi,portfolio_signature
2027,Germany,11,0.2670107401185407,0.045383669705654994,Power grids-EV batteries-Wind-Solar PV-Electrolysers
2027,Germany,12,0.2670107401185407,0.04822086973031922,Electrolysers-Power grids-EV batteries-Solar PV-Wind
2027,Germany,13,0.2670107401185407,0.04769541460750043,Solar PV-Wind-Electrolysers-EV batteries-Power grids
2027,Germany,14,0.2670107401185407,0.03973024101200463,Wind-EV batteries-Power grids-Solar PV-Electrolysers
2027,Germany,15,0.2670107401185407,0.04651233593407184,EV batteries-Electrolysers-Wind-Power grids-Solar PV
2027,Germany,16,0.2670107401185407,0.046470417570258146,EV batteries-Power grids-Electrolysers-Solar PV-Wind
2027,Germany,17,0.2670107401185407,0.04042566490643201,Wind-Solar PV-Power grids-EV batteries-Electrolysers
2027,Germany,18,0.2670107401185407,0.039482474877526534,Wind-Electrolysers-Solar PV-EV batteries-Power grids
2027,Germany,19,0.2670107401185407,0.04225161481223845,Wind-Solar PV-Electrolysers-Power grids-EV batteries
2027,Germany,20,0.2670107401185407,0.0413016198119969,Wind-EV batteries-Solar PV-Electrolysers-Power grids
2027,Germany,21,0.2670107401185407,0.04768444312538743,Solar PV-Wind-Power grids-EV batteries-Electrolysers
2027,Germany,22,0.2670107401185407,0.04634189182328143,Electrolysers-Power grids-Wind-EV batteries-Solar PV
2027,Germany,23,0.2670107401185407,0.05062060873711404,Electrolysers-Solar PV-Power grids-EV batteries-Wind
2027,Germany,24,0.2670107401185407,0.04068692433709964,Power grids-EV batteries-Solar PV-Wind-Electrolysers
2027,Germany,25,0.2670107401185407,0.041341534311078176,Electrolysers-Solar PV-Power grids-Wind-EV batteries
2027,Germany,26,0.2670107401185407,0.04659671249081475,Solar PV-Electrolysers-Power grids-EV batteries-Wind
2027,Germany,27,0.2670107401185407,0.04822086973031922,Electrolysers-Power grids-EV batteries-Solar PV-Wind
2027,Germany,28,0.2670107401185407,0.03973024101200463,Wind-EV batteries-Power grids-Solar PV-Electrolysers
2027,Germany,29,0.2670107401185407,0.04945426169124751,EV batteries-Power grids-Solar PV-Electrolysers-Wind
2027,Germany,30,0.2670107401185407,0.05062060873711404,Electrolysers-Solar PV-Power grids-EV batteries-Wind
2027,Germany,31,0.2670107401185407,0.039971499329326844,EV batteries-Solar PV-Electrolysers-Wind-Power grids
2027,Germany,32,0.2670107401185407,0.04164088452852763,Wind-Solar PV-EV batteries-Electrolysers-Power grids
2027,Germany,33,0.2670107401185407,0.04934019909951583,Power grids-EV batteries-Wind-Electrolysers-Solar PV
2027,Germany,34,0.2670107401185407,0.04929919525822034,Electrolysers-Wind-EV batteries-Solar PV-Power grids
2027,Germany,35,0.2670107401185407,0.04070627420042128,Electrolysers-EV batteries-Solar PV-Wind-Power grids
2027,Germany,36,0.2670107401185407,0.040937329220387654,Electrolysers-Solar PV-EV batteries-Wind-Power grids
2027,Germany,37,0.2670107401185407,0.04217066985985174,Wind-EV batteries-Electrolysers-Power grids-Solar PV
2027,Germany,38,0.2670107401185407,0.045654234598643643,Solar PV-EV batteries-Wind-Power grids-Electrolysers
2027,Germany,39,0.2670107401185407,0.04978542513285982,Solar PV-Wind-EV batteries-Electrolysers-Power grids
2027,Italy,0,0.23982327290565775,0.035961775660900155,EV batteries-Wind-Electrolysers-Solar PV-Power grids
