index,resource,mean,std
0,Cobalt,0.005582745986590835,0.004015859013339508
1,Copper,0.20131408792562575,0.10866012094753098
2,Graphite,0.6688132398066777,0.1250273330359003
3,Lithium,0.042043765132224464,0.013515447196058733
4,Nickel,0.023581614193148057,0.020191618724553682
5,Rare earths,0.8477545602245397,0.17139762357758245
