sample,budget,baseline_worstcase_loss_pct,optimized_worstcase_loss_pct,total_resilience_gain_pp,relative_loss_reduction_pct,alpha,policy_cap
baseline_5,0.0,8.462208054326517,8.462208054326517,0.0,0.0,0.65,0.4
baseline_5,0.02,8.462208054326517,8.384931966612118,0.07727608771439891,0.9131905906625584,0.65,0.4
baseline_5,0.04,8.462208054326517,8.340948875189733,0.12125917913678372,1.4329496315655688,0.65,0.4
baseline_5,0.06,8.462208054326517,8.304383728681364,0.157824325645153,1.86504898759209,0.65,0.4
baseline_5,0.08,8.462208054326517,8.27193200697705,0.1902760473494679,2.2485389880267066,0.65,0.4
baseline_5,0.1,8.462208054326517,8.242231887716885,0.21997616660963154,2.599512623625026,0.65,0.4
baseline_5,0.12,8.462208054326517,8.214555142001586,0.24765291232493078,2.926575554926376,0.65,0.4
baseline_5,0.14,8.462208054326517,8.188455076029575,0.2737529782969415,3.235006472772534,0.65,0.4
baseline_5,0.16,8.462208054326517,8.163632932404434,0.2985751219220833,3.5283358670132112,0.65,0.4
baseline_5,0.18,8.462208054326517,8.13987654787907,0.32233150644744757,3.8090709230748283,0.65,0.4
baseline_5,0.2,8.462208054326517,8.11702844985011,0.3451796044764061,4.079072533556113,0.65,0.4
baseline_5,0.22,8.462208054326517,8.094967721661078,0.3672403326654397,4.339769600413911,0.65,0.4
baseline_5,0.24,8.462208054326517,8.0735989807106,0.38860907361591784,4.592289283377188,0.65,0.4
baseline_5,0.26,8.462208054326517,8.052845319112114,0.40936273521440364,4.837540421912773,0.65,0.4
baseline_5,0.28,8.462208054326517,8.032643587279209,0.4295644670473092,5.0762692702607755,0.65,0.4
baseline_5,0.3,8.462208054326517,8.012941131271587,0.44926692305493054,5.309098053022125,0.65,0.4
baseline_5,0.32,8.462208054326517,7.993693468951217,0.4685145853753003,5.536552426594621,0.65,0.4
baseline_5,0.34,8.462208054326517,7.974862593160448,0.48734546116606925,5.759081530935671,0.65,0.4
baseline_5,0.36,8.462208054326517,7.9564157059069744,0.5057923484195428,5.977072948010818,0.65,0.4
baseline_5,0.38,8.462208054326517,7.938324256284336,0.5238837980421813,6.190864070924521,0.65,0.4
baseline_5,0.4,8.462208054326517,7.92056319714556,0.5416448571809568,6.400750887991075,0.65,0.4
baseline_5,0.42,8.462208054326517,7.903110402375685,0.5590976519508322,6.6069948689689735,0.65,0.4
baseline_5,0.44,8.462208054326517,7.8859462040952835,0.5762618502312336,6.809828434040985,0.65,0.4
baseline_5,0.46,8.462208054326517,7.869053020801079,0.5931550335254381,7.009459348168267,0.65,0.4
baseline_5,0.48,8.462208054326517,7.852415055411643,0.6097929989148738,7.206074289358813,0.65,0.4
baseline_5,0.5,8.462208054326517,7.836018047721772,0.6261900066047457,7.399841773975178,0.65,0.4
baseline_5,0.52,8.462208054326517,7.819849069685039,0.6423589846414786,7.590914575930999,0.65,0.4
baseline_5,0.54,8.462208054326517,7.803896354758221,0.6583116995682965,7.779431743370078,0.65,0.4
baseline_5,0.56,8.462208054326517,7.788149154592894,0.6740588997336233,7.9655202921770965,0.65,0.4
baseline_5,0.58,8.462208054326517,7.772597617875053,0.6896104364514642,8.149296637759733,0.65,0.4
baseline_5,0.6,8.462208054326517,7.757232687246714,0.7049753670798031,8.330867813151519,0.65,0.4
baseline_5,0.62,8.462208054326517,7.742087640958587,0.7201204133679294,8.509840561054864,0.65,0.4
baseline_5,0.64,8.462208054326517,7.727377527364145,0.7348305269623719,8.683673602029572,0.65,0.4
baseline_5,0.66,8.462208054326517,7.713090830720583,0.7491172236059341,8.852503020449008,0.65,0.4
baseline_5,0.68,8.462208054326517,7.699184079229926,0.7630239750965904,9.016842533273277,0.65,0.4
baseline_5,0.7000000000000001,8.462208054326517,7.685621026234278,0.7765870280922389,9.177120476199933,0.65,0.4
baseline_5,0.72,8.462208054326517,7.672371050495592,0.7898370038309254,9.333698707952486,0.65,0.4
baseline_5,0.74,8.462208054326517,7.659407988113629,0.8028000662128881,9.48688641379405,0.65,0.4
baseline_5,0.76,8.462208054326517,7.6467092611464516,0.8154987931800658,9.636950402833945,0.65,0.4
baseline_5,0.78,8.462208054326517,7.63425521532064,0.8279528390058772,9.784122934469396,0.65,0.4
baseline_5,0.8,8.462208054326517,7.622028608329873,0.840179445996644,9.928607765287465,0.65,0.4
baseline_5,0.8200000000000001,8.462208054326517,7.61031116354239,0.8518968907841269,10.067075700751332,0.65,0.4
baseline_5,0.84,8.462208054326517,7.601257185220419,0.8609508691060985,10.174068795979505,0.65,0.4
baseline_5,0.86,8.462208054326517,7.5937302008016285,0.8684778535248882,10.263017027581318,0.65,0.4
baseline_5,0.88,8.462208054326517,7.587049970392177,0.8751580839343402,10.341958958181058,0.65,0.4
baseline_5,0.9,8.462208054326517,7.58093616103396,0.8812718932925572,10.41420735149598,0.65,0.4
baseline_5,0.92,8.462208054326517,7.575238865831979,0.8869691884945381,10.481533694282696,0.65,0.4
baseline_5,0.9400000000000001,8.462208054326517,7.569866132268454,0.8923419220580626,10.54502461212627,0.65,0.4
baseline_5,0.96,8.462208054326517,7.5647564607328945,0.8974515935936227,10.605406861094346,0.65,0.4
baseline_5,0.98,8.462208054326517,7.559866177136512,0.9023418771900051,10.663196548667463,0.65,0.4
baseline_5,1.0,8.462208054326517,7.555162865532836,0.9070451887936817,10.718776742081305,0.65,0.4
