sample,budget,resource,marginal_benefit_pp,optimal_allocation,allocation_share_pct,alpha,policy_cap
baseline_5,0.0,Lithium,0.042043765132224464,0.0,0.0,0.65,0.4
baseline_5,0.0,Nickel,0.023581614193148057,0.0,0.0,0.65,0.4
baseline_5,0.0,Cobalt,0.005582745986590835,0.0,0.0,0.65,0.4
baseline_5,0.0,Graphite,0.6688132398066777,0.0,0.0,0.65,0.4
baseline_5,0.0,Rare earths,0.8477545602245397,0.0,0.0,0.65,0.4
baseline_5,0.0,Copper,0.20131408792562575,0.0,0.0,0.65,0.4
baseline_5,0.02,Lithium,0.042043765132224464,2.457722085142108e-06,0.00024577220851421084,0.65,0.4
baseline_5,0.02,Nickel,0.023581614193148057,4.7100335027904955e-07,4.7100335027904954e-05,0.65,0.4
baseline_5,0.02,Cobalt,0.005582745986590835,7.677792861968147e-09,7.677792861968148e-07,0.65,0.4
baseline_5,0.02,Graphite,0.6688132398066777,0.006663232154187888,0.6663232154187888,0.65,0.4
baseline_5,0.02,Rare earths,0.8477545602245397,0.013118115142883281,1.3118115142883282,0.65,0.4
baseline_5,0.02,Copper,0.20131408792562575,0.00021571629970054448,0.02157162997005445,0.65,0.4
baseline_5,0.04,Lithium,0.042043765132224464,4.915444170284217e-06,0.0004915444170284217,0.65,0.4
baseline_5,0.04,Nickel,0.023581614193148057,9.420067005580995e-07,9.420067005580995e-05,0.65,0.4
baseline_5,0.04,Cobalt,0.005582745986590835,1.5355585723936298e-08,1.5355585723936298e-06,0.65,0.4
baseline_5,0.04,Graphite,0.6688132398066777,0.013326464308375783,1.3326464308375783,0.65,0.4
baseline_5,0.04,Rare earths,0.8477545602245397,0.026236230285766566,2.6236230285766564,0.65,0.4
baseline_5,0.04,Copper,0.20131408792562575,0.0004314325994010891,0.04314325994010891,0.65,0.4
baseline_5,0.06,Lithium,0.042043765132224464,7.3731662554263245e-06,0.0007373166255426325,0.65,0.4
baseline_5,0.06,Nickel,0.023581614193148057,1.413010050837149e-06,0.0001413010050837149,0.65,0.4
baseline_5,0.06,Cobalt,0.005582745986590835,2.3033378585904445e-08,2.3033378585904446e-06,0.65,0.4
baseline_5,0.06,Graphite,0.6688132398066777,0.019989696462563666,1.9989696462563666,0.65,0.4
baseline_5,0.06,Rare earths,0.8477545602245397,0.03935434542864985,3.935434542864985,0.65,0.4
baseline_5,0.06,Copper,0.20131408792562575,0.0006471488991016337,0.06471488991016337,0.65,0.4
baseline_5,0.08,Lithium,0.042043765132224464,9.830888340568433e-06,0.0009830888340568434,0.65,0.4
baseline_5,0.08,Nickel,0.023581614193148057,1.8840134011161986e-06,0.00018840134011161987,0.65,0.4
