seed,economy,resource,resource_channel_loss_pct,contribution_share
2027,France,Lithium,2.931053666255802,0.13572812828557193
2027,France,Nickel,2.064888008069335,0.09561864652331285
2027,France,Cobalt,1.9145238751451774,0.08865574353793378
2027,France,Graphite,5.87289770918924,0.27195592590398915
2027,France,Rare earths,5.997647819898839,0.27773272188181963
2027,France,Copper,2.814023814200655,0.1303088338673727
2027,Germany,Lithium,3.469024550651476,0.13339837343568198
2027,Germany,Nickel,2.43567691491199,0.09366187350939359
2027,Germany,Cobalt,2.1925443726954077,0.08431241945180168
2027,Germany,Graphite,7.14133905426691,0.27461408822056704
2027,Germany,Rare earths,7.312841182506273,0.28120905594531037
2027,Germany,Copper,3.4535727964426846,0.13280418943724542
2027,Italy,Lithium,4.093181144260682,0.13383440735519567
2027,Italy,Nickel,3.0264837134439406,0.09895668915773873
2027,Italy,Cobalt,2.6786516835555236,0.08758365387330122
2027,Italy,Graphite,8.278570491410036,0.2706837387393942
2027,Italy,Rare earths,8.444096274064876,0.2760959216462459
2027,Italy,Copper,4.062939207281875,0.13284558922812428
2027,Netherlands,Lithium,3.7334826715788165,0.1314891782055517
2027,Netherlands,Nickel,2.6871587760480797,0.09463879445862831
2027,Netherlands,Cobalt,2.388705722529205,0.0841276041861048
2027,Netherlands,Graphite,7.805212467127514,0.2748910503415624
2027,Netherlands,Rare earths,7.993073807997045,0.28150732139474555
2027,Netherlands,Copper,3.7862064321152906,0.13334605141340714
2027,Spain,Lithium,3.9038366046435047,0.13238667650427413
2027,Spain,Nickel,2.9406081702090034,0.09972173069237235
2027,Spain,Cobalt,2.5489235136089565,0.08643894373778531
2027,Spain,Graphite,7.989853995752564,0.27095145708555335
2027,Spain,Rare earths,8.146849694628628,0.27627548595882784
2027,Spain,Copper,3.95806616108163,0.13422570602118702
2028,France,Lithium,2.3556941018841346,0.13137285678277552
2028,France,Nickel,2.010465626102236,0.11212008068168648
2028,France,Cobalt,1.9658248535736726,0.10963054445057024
2028,France,Graphite,4.6811102988704985,0.2610571688344521
