seed,resource_scaled,epsilon,mean_chi,mean_worstcase_loss_pct
2027,Lithium,-0.2,0.043615525840058476,8.90411006568107
2028,Lithium,-0.2,0.039759309873953985,8.493320159335493
2029,Lithium,-0.2,0.04664926455595538,8.37238615159541
2030,Lithium,-0.2,0.04916813600712665,8.643207813332191
2031,Lithium,-0.2,0.04624420030174464,8.550742429811368
2032,Lithium,-0.2,0.04571945671605702,9.310567226954245
2033,Lithium,-0.2,0.04656376341558603,8.798903454424229
2034,Lithium,-0.2,0.048221086221755985,9.046023433704923
2035,Lithium,-0.2,0.04254503188362899,7.9360955238676585
2036,Lithium,-0.2,0.04829244490463873,8.710796359858966
2037,Lithium,-0.2,0.04698963437528133,8.9827469966705
2038,Lithium,-0.2,0.046326873521856896,8.677795766980859
2039,Lithium,-0.2,0.04466575584194858,8.73623253283173
2040,Lithium,-0.2,0.04551628664453346,9.044743791406493
2041,Lithium,-0.2,0.040339355857966885,7.257044418366322
2042,Lithium,-0.2,0.04329412629693861,8.769751377736076
2043,Lithium,-0.2,0.04527650499858062,8.312015909586737
2044,Lithium,-0.2,0.04688024803189883,8.852738060104564
2045,Lithium,-0.2,0.045852922389693025,8.608404019180346
2046,Lithium,-0.2,0.03806809243848112,7.603254697288686
2047,Lithium,-0.2,0.044521294339630195,8.96117991726209
2048,Lithium,-0.2,0.052346984027367406,9.915422591147214
2049,Lithium,-0.2,0.04170260004824836,8.887975012923723
2050,Lithium,-0.2,0.04529534633624804,9.178117683212472
2051,Lithium,-0.2,0.05170207515621793,9.47832286284851
2052,Lithium,-0.2,0.04693866840752559,8.246896608307315
2053,Lithium,-0.2,0.046585644051514594,9.855123530596448
2054,Lithium,-0.2,0.04235355782394708,8.192517442748516
2055,Lithium,-0.2,0.04605751760105982,9.96885323924116
2056,Lithium,-0.2,0.048982339132685015,8.79478004612883
2057,Lithium,-0.2,0.04654679165414831,9.139304601788728
2058,Lithium,-0.2,0.04469393169395157,8.109556001753013
2059,Lithium,-0.2,0.046913939962945,8.532568791623053
