seed,resource_scaled,epsilon,mean_chi,mean_worstcase_loss_pct
2027,Lithium,-0.2,0.044289204458520415,8.563686614545576
2028,Lithium,-0.2,0.04093749211312644,8.219730469516392
2029,Lithium,-0.2,0.04763972488947586,8.322741974226322
2030,Lithium,-0.2,0.04851703134603928,8.313616482341367
2031,Lithium,-0.2,0.04623438411805915,8.201387753662178
2032,Lithium,-0.2,0.04895791886161273,8.936543707903702
2033,Lithium,-0.2,0.04879484241354888,9.0387366874806
2034,Lithium,-0.2,0.04936184112483997,8.84174078405042
2035,Lithium,-0.2,0.04366372855185948,8.126527253989483
2036,Lithium,-0.2,0.04691842065057203,8.40669615596753
2037,Lithium,-0.2,0.044961990684604144,8.79996273305402
2038,Lithium,-0.2,0.04853771900684764,8.299684445671101
2039,Lithium,-0.2,0.04565397820715973,8.326991316463467
2040,Lithium,-0.2,0.04633177822482171,8.701603864638486
2041,Lithium,-0.2,0.04121480851590621,7.014633087731674
2042,Lithium,-0.2,0.04344245935756357,8.556126451159535
2043,Lithium,-0.2,0.045675212453579375,7.906094363917929
2044,Lithium,-0.2,0.04578486267965848,8.323430284206484
2045,Lithium,-0.2,0.04680669471805343,8.175179654363106
2046,Lithium,-0.2,0.038458752308112076,7.398675802518498
2047,Lithium,-0.2,0.04516564479138094,8.47307024022118
2048,Lithium,-0.2,0.05010531875369993,9.439557049778744
2049,Lithium,-0.2,0.044128291547619866,8.817908857049414
2050,Lithium,-0.2,0.04555785688073291,8.724707597046434
2051,Lithium,-0.2,0.05223475554311338,9.325871917066191
2052,Lithium,-0.2,0.04597572459940032,8.215471057689173
2053,Lithium,-0.2,0.04641927223478724,9.418850198164666
2054,Lithium,-0.2,0.04470357515686306,8.104231763492484
2055,Lithium,-0.2,0.046240921450941046,9.97970219007502
2056,Lithium,-0.2,0.048179408013910824,8.39490032505294
2057,Lithium,-0.2,0.047325202460414426,8.810534350219104
2058,Lithium,-0.2,0.04550841577967728,8.167789456010517
2059,Lithium,-0.2,0.04710122994279967,8.457868619555116
2060,Lithium,-0.2,0.04571145300291195,8.742549637903249
2061,Lithium,-0.2,0.04340536002419192,7.959202950378527
2062,Lithium,-0.2,0.04117064470892957,7.809553122926893
2063,Lithium,-0.2,0.04638766838132735,8.881415746202102
2064,Lithium,-0.2,0.048911844698545,8.761646795468108
2065,Lithium,-0.2,0.046724878659942126,8.569215886907264
2066,Lithium,-0.2,0.048826581838767605,8.107594727400253
2067,Lithium,-0.2,0.03814304980018013,7.075831630789876
2068,Lithium,-0.2,0.04605997943870108,8.775535539777465
2069,Lithium,-0.2,0.0451273496601791,8.719802969575591
2070,Lithium,-0.2,0.04195734674790702,7.8268029367237
2071,Lithium,-0.2,0.04148204824062991,8.321826244888642
2072,Lithium,-0.2,0.042047758188185895,9.115579548066716
2073,Lithium,-0.2,0.04067824344141546,8.040599040966063
2074,Lithium,-0.2,0.045198231243765485,8.11793536310968
2075,Lithium,-0.2,0.04065215134283544,7.712431723375737
2076,Lithium,-0.2,0.047257289312528566,8.965498748018504
2027,Nickel,-0.2,0.03889698314357305,7.480539272918254
2028,Nickel,-0.2,0.04587815889009278,8.683754450387475
2029,Nickel,-0.2,0.05062443792252365,9.213741037792403
2030,Nickel,-0.2,0.04442917003040673,8.506450356504427
2031,Nickel,-0.2,0.04601225930827048,8.535858282810414
2032,Nickel,-0.2,0.052624510956509024,9.769102525136068
2033,Nickel,-0.2,0.04626554973189223,8.922191547683285
2034,Nickel,-0.2,0.04675083145488013,8.695861873989973
2035,Nickel,-0.2,0.045009014430566374,8.351686015559366
2036,Nickel,-0.2,0.04681283042679796,9.4566274706821
2037,Nickel,-0.2,0.048301361148672894,9.038671028787507
2038,Nickel,-0.2,0.04770189986157834,8.670070943713167
2039,Nickel,-0.2,0.04587923649492523,8.301388626729711
2040,Nickel,-0.2,0.04734771756996632,8.721396699403826
2041,Nickel,-0.2,0.04609021999351948,8.286781338238821
2042,Nickel,-0.2,0.04385017851855862,8.51430341347194
2043,Nickel,-0.2,0.041479282234922824,7.727205179945054
2044,Nickel,-0.2,0.046918276780253884,9.24466943780837
2045,Nickel,-0.2,0.04935045041431243,9.21376277974063
2046,Nickel,-0.2,0.047234627993416545,8.493211906896015
2047,Nickel,-0.2,0.04915390224582583,8.284394378491392
2048,Nickel,-0.2,0.0384962017900696,7.341177831709466
2049,Nickel,-0.2,0.04656625032144425,9.321245952514293
2050,Nickel,-0.2,0.04554987188050647,8.841922506011905
2051,Nickel,-0.2,0.04237936439719173,7.90749818660375
2052,Nickel,-0.2,0.04191945243076872,8.278439784727933
2053,Nickel,-0.2,0.04240838438147881,9.113638624948852
2054,Nickel,-0.2,0.04116171180216532,8.268670900573738
2055,Nickel,-0.2,0.045605309373834196,8.85748086216896
2056,Nickel,-0.2,0.040839022597612795,7.958957044572633
2057,Nickel,-0.2,0.047920845698930986,9.384571084288188
2058,Nickel,-0.2,0.04518526935345037,8.699887712093513
2059,Nickel,-0.2,0.04449957058217863,8.113359923869826
2060,Nickel,-0.2,0.052039709649587,9.570913346849885
2061,Nickel,-0.2,0.04732515458713922,9.001050029553518
2062,Nickel,-0.2,0.04885752475615547,8.683141275560939
2063,Nickel,-0.2,0.04226418420964631,8.046621368019931
2064,Nickel,-0.2,0.040220939757570316,8.17603564230581
2065,Nickel,-0.2,0.04212146714918713,8.977165695468118
2066,Nickel,-0.2,0.042435482924953374,7.1281285296649095
2067,Nickel,-0.2,0.04558765203213576,8.649048169655792
2068,Nickel,-0.2,0.04924542109793991,8.290897754255086
2069,Nickel,-0.2,0.045229479310136565,8.68413493177961
2070,Nickel,-0.2,0.04369127294963438,8.223288405282084
2071,Nickel,-0.2,0.04096847240111069,7.741503673511298
2072,Nickel,-0.2,0.045528181050754776,8.890924043177407
2073,Nickel,-0.2,0.048088601398645084,9.207862750215856
2074,Nickel,-0.2,0.046340344692960264,8.590249812131088
2075,Nickel,-0.2,0.04449734466542337,8.7189470848309
2076,Nickel,-0.2,0.0428135858513349,7.432599103653306
2027,Cobalt,-0.2,0.04684771344653571,8.42888879443528
2028,Cobalt,-0.2,0.04890133904081165,8.358677489081577
2029,Cobalt,-0.2,0.038280726759441344,7.0209277030869295
2030,Cobalt,-0.2,0.04633512836730789,8.893662615926807
2031,Cobalt,-0.2,0.04521512465582833,8.449384244917002
2032,Cobalt,-0.2,0.04217065090523641,8.156007054940599
2033,Cobalt,-0.2,0.041533066788271636,8.802988491541955
2034,Cobalt,-0.2,0.04212376279620662,8.311571242704597
2035,Cobalt,-0.2,0.04071932432060429,8.348825691570202
2036,Cobalt,-0.2,0.045284748349220146,8.226940197360877
2037,Cobalt,-0.2,0.04067302415074946,8.440791048991706
2038,Cobalt,-0.2,0.0473409031543528,9.048806843950306
2039,Cobalt,-0.2,0.044718252733334934,8.665164231511298
2040,Cobalt,-0.2,0.044210729939491364,8.236361012540481
2041,Cobalt,-0.2,0.051929951361852675,8.937340274112593
2042,Cobalt,-0.2,0.046955574071411724,9.447281542396887
2043,Cobalt,-0.2,0.04843310459744271,8.449316691521243
2044,Cobalt,-0.2,0.04201549697912689,8.224085703336915
2045,Cobalt,-0.2,0.03990999149717791,8.43391495719824
2046,Cobalt,-0.2,0.04184257909152929,8.74449761616123
2047,Cobalt,-0.2,0.04221464500490214,7.197311339377059
2048,Cobalt,-0.2,0.0453688524180207,8.83234223181999
2049,Cobalt,-0.2,0.04928139310506076,8.674322159319136
2050,Cobalt,-0.2,0.04492921062137936,8.649338379019188
2051,Cobalt,-0.2,0.043454587795367,8.161380995658238
2052,Cobalt,-0.2,0.040691479997332344,7.546718606005932
2053,Cobalt,-0.2,0.04518067434772467,8.770793337468366
2054,Cobalt,-0.2,0.04778206947122752,9.275443585948782
2055,Cobalt,-0.2,0.04604877860513386,9.221649671211283
2056,Cobalt,-0.2,0.04425591819043639,8.882499350535403
2057,Cobalt,-0.2,0.04257308285923295,7.621107155758727
2058,Cobalt,-0.2,0.043846772753807606,8.292313801556318
2059,Cobalt,-0.2,0.04661733715905564,8.377746830544027
2060,Cobalt,-0.2,0.05375493216804236,10.114150297588317
2061,Cobalt,-0.2,0.03914644126129521,8.170274515904193
2062,Cobalt,-0.2,0.04445084751560668,8.360796103581007
2063,Cobalt,-0.2,0.052722659259003324,9.475993255803207
2064,Cobalt,-0.2,0.04790250579869794,8.18607164154834
2065,Cobalt,-0.2,0.04757620698306558,8.5515019436378
2066,Cobalt,-0.2,0.04841210792851923,8.479502335329517
2067,Cobalt,-0.2,0.0464016358476322,9.263628389891666
