seed,scenario,economy,loss_pct
2029,Lithium shock (Chile+Australia),Netherlands,5.467142670811312
2029,Lithium shock (Chile+Australia),Spain,7.070276378303598
2029,Lithium shock (Chile+Australia),Sweden,5.592820194723561
2029,Lithium shock (Chile+Australia),Denmark,5.4856165209385095
2029,Lithium shock (Chile+Australia),Finland,5.67525063759294
2029,Dual shock (China+Russia),France,6.316612860392796
2029,Dual shock (China+Russia),Germany,8.073326920138483
2029,Dual shock (China+Russia),Italy,8.717662851808743
2029,Dual shock (China+Russia),Netherlands,7.682897461676208
2029,Dual shock (China+Russia),Spain,10.212002847067899
2029,Dual shock (China+Russia),Sweden,7.78231962494377
2029,Dual shock (China+Russia),Denmark,7.7935478630296275
2029,Dual shock (China+Russia),Finland,7.923383608972566
2029,Copper shock (Chile+Peru),France,3.584186857607894
2029,Copper shock (Chile+Peru),Germany,4.529179763108361
2029,Copper shock (Chile+Peru),Italy,5.186348486055257
2029,Copper shock (Chile+Peru),Netherlands,4.41587749677989
2029,Copper shock (Chile+Peru),Spain,6.042244719705561
2029,Copper shock (Chile+Peru),Sweden,4.2635025055652385
2029,Copper shock (Chile+Peru),Denmark,4.270277016436116
2029,Copper shock (Chile+Peru),Finland,4.455138367876444
2030,China REE+Graphite shock,France,7.15399583128424
2030,China REE+Graphite shock,Germany,7.846657544211647
2030,China REE+Graphite shock,Italy,7.03403901192609
2030,China REE+Graphite shock,Netherlands,8.959141818309131
2030,China REE+Graphite shock,Spain,9.554579628238836
2030,China REE+Graphite shock,Sweden,8.092569501232294
2030,China REE+Graphite shock,Denmark,6.6778858647763135
2030,China REE+Graphite shock,Finland,7.398408118327715
2030,Indonesia nickel shock,France,1.2426244744383208
2030,Indonesia nickel shock,Germany,1.5773396781592233
2030,Indonesia nickel shock,Italy,1.4413677900332333
2030,Indonesia nickel shock,Netherlands,1.6725280532817868
2030,Indonesia nickel shock,Spain,1.6075805450827574
2030,Indonesia nickel shock,Sweden,1.651093669457608
2030,Indonesia nickel shock,Denmark,1.4060487738093614
2030,Indonesia nickel shock,Finland,1.4852642978153119
2030,Lithium shock (Chile+Australia),France,4.479541235615291
2030,Lithium shock (Chile+Australia),Germany,4.920807184384183
2030,Lithium shock (Chile+Australia),Italy,4.483403058184547
2030,Lithium shock (Chile+Australia),Netherlands,4.927275092562663
2030,Lithium shock (Chile+Australia),Spain,5.655847612984526
2030,Lithium shock (Chile+Australia),Sweden,5.234783680572658
2030,Lithium shock (Chile+Australia),Denmark,4.026237710007424
2030,Lithium shock (Chile+Australia),Finland,4.256949433975255
2030,Dual shock (China+Russia),France,7.873515209367153
2030,Dual shock (China+Russia),Germany,8.696434042336682
2030,Dual shock (China+Russia),Italy,7.776869620780742
2030,Dual shock (China+Russia),Netherlands,9.981229131502431
2030,Dual shock (China+Russia),Spain,10.567332771863953
2030,Dual shock (China+Russia),Sweden,8.94445174184222
2030,Dual shock (China+Russia),Denmark,7.441036313193988
2030,Dual shock (China+Russia),Finland,8.209893503202226
2030,Copper shock (Chile+Peru),France,3.9080276877241404
2030,Copper shock (Chile+Peru),Germany,4.183366610900604
2030,Copper shock (Chile+Peru),Italy,4.276937391840787
2030,Copper shock (Chile+Peru),Netherlands,4.546354272883601
2030,Copper shock (Chile+Peru),Spain,5.482240425680014
2030,Copper shock (Chile+Peru),Sweden,4.152665390883453
2030,Copper shock (Chile+Peru),Denmark,3.3667339998131616
2030,Copper shock (Chile+Peru),Finland,3.973296362082494
2031,China REE+Graphite shock,France,8.319054807239727
2031,China REE+Graphite shock,Germany,9.370438277141973
2031,China REE+Graphite shock,Italy,11.009241892290373
2031,China REE+Graphite shock,Netherlands,11.327005408509518
2031,China REE+Graphite shock,Spain,11.002784792314547
2031,China REE+Graphite shock,Sweden,7.67491530377449
2031,China REE+Graphite shock,Denmark,8.99416158296863
2031,China REE+Graphite shock,Finland,9.672927477556852
2031,Indonesia nickel shock,France,1.1177153831131421
2031,Indonesia nickel shock,Germany,1.3824252058197686
2031,Indonesia nickel shock,Italy,1.698438043820578
2031,Indonesia nickel shock,Netherlands,1.8573518630017922
2031,Indonesia nickel shock,Spain,1.5705170818617142
2031,Indonesia nickel shock,Sweden,1.3765850973777447
2031,Indonesia nickel shock,Denmark,1.7084280411663617
2031,Indonesia nickel shock,Finland,1.7461891683440067
2031,Lithium shock (Chile+Australia),France,3.8349756798653485
2031,Lithium shock (Chile+Australia),Germany,4.28309952870905
2031,Lithium shock (Chile+Australia),Italy,5.031868398462662
2031,Lithium shock (Chile+Australia),Netherlands,5.225892118558352
2031,Lithium shock (Chile+Australia),Spain,4.719080824036452
2031,Lithium shock (Chile+Australia),Sweden,3.721632946838761
2031,Lithium shock (Chile+Australia),Denmark,4.178826783336493
2031,Lithium shock (Chile+Australia),Finland,4.767406879631849
2031,Dual shock (China+Russia),France,8.822557300373811
2031,Dual shock (China+Russia),Germany,9.911481589591201
2031,Dual shock (China+Russia),Italy,11.682883927722985
2031,Dual shock (China+Russia),Netherlands,12.078353763647122
2031,Dual shock (China+Russia),Spain,11.664152372205809
2031,Dual shock (China+Russia),Sweden,8.174895276388812
2031,Dual shock (China+Russia),Denmark,9.599519427782674
2031,Dual shock (China+Russia),Finland,10.340483702809088
2031,Copper shock (Chile+Peru),France,3.8607328419997065
2031,Copper shock (Chile+Peru),Germany,3.9135991307218423
2031,Copper shock (Chile+Peru),Italy,4.921197565300763
2031,Copper shock (Chile+Peru),Netherlands,5.124204985005803
2031,Copper shock (Chile+Peru),Spain,4.974782910336088
2031,Copper shock (Chile+Peru),Sweden,3.2973763870901336
2031,Copper shock (Chile+Peru),Denmark,3.8455447176350397
2031,Copper shock (Chile+Peru),Finland,4.469657632913133
2032,China REE+Graphite shock,France,8.03173851518148
2032,China REE+Graphite shock,Germany,9.334318455787434
2032,China REE+Graphite shock,Italy,8.681959351744332
2032,China REE+Graphite shock,Netherlands,9.061304066518362
2032,China REE+Graphite shock,Spain,10.303866320408819
2032,China REE+Graphite shock,Sweden,8.40577185296161
2032,China REE+Graphite shock,Denmark,7.939832980313303
2032,China REE+Graphite shock,Finland,7.731795903392271
2032,Indonesia nickel shock,France,1.543671021420171
2032,Indonesia nickel shock,Germany,2.1304614075955897
2032,Indonesia nickel shock,Italy,1.8565715033240302
2032,Indonesia nickel shock,Netherlands,1.927254275572131
2032,Indonesia nickel shock,Spain,1.3460130858552217
2032,Indonesia nickel shock,Sweden,1.5972853283704402
2032,Indonesia nickel shock,Denmark,1.6740227774692051
2032,Indonesia nickel shock,Finland,1.8841907442434984
2032,Lithium shock (Chile+Australia),France,5.631583087453669
2032,Lithium shock (Chile+Australia),Germany,6.328403957602015
2032,Lithium shock (Chile+Australia),Italy,6.4248689047801175
2032,Lithium shock (Chile+Australia),Netherlands,5.777267686851725
2032,Lithium shock (Chile+Australia),Spain,6.998936183321232
2032,Lithium shock (Chile+Australia),Sweden,5.349779749868139
2032,Lithium shock (Chile+Australia),Denmark,5.0667559230443135
2032,Lithium shock (Chile+Australia),Finland,5.315637652714664
2032,Dual shock (China+Russia),France,8.694669849874089
2032,Dual shock (China+Russia),Germany,10.134057528181398
2032,Dual shock (China+Russia),Italy,9.416522128071682
2032,Dual shock (China+Russia),Netherlands,9.899184303820487
2032,Dual shock (China+Russia),Spain,11.067827779646503
2032,Dual shock (China+Russia),Sweden,9.119782007156717
2032,Dual shock (China+Russia),Denmark,8.615921734265912
2032,Dual shock (China+Russia),Finland,8.483040514978349
2032,Copper shock (Chile+Peru),France,5.516537916612944
2032,Copper shock (Chile+Peru),Germany,5.986769019661081
2032,Copper shock (Chile+Peru),Italy,6.431268747324408
2032,Copper shock (Chile+Peru),Netherlands,5.839883998233007
2032,Copper shock (Chile+Peru),Spain,7.610951869638341
2032,Copper shock (Chile+Peru),Sweden,5.2006614431422475
2032,Copper shock (Chile+Peru),Denmark,4.7231650934045515
2032,Copper shock (Chile+Peru),Finland,5.3021014832712625
2033,China REE+Graphite shock,France,7.079757379844535
2033,China REE+Graphite shock,Germany,8.673701910620142
2033,China REE+Graphite shock,Italy,9.138272342332531
2033,China REE+Graphite shock,Netherlands,10.323430494233447
2033,China REE+Graphite shock,Spain,9.83551878651139
2033,China REE+Graphite shock,Sweden,8.769328574442316
2033,China REE+Graphite shock,Denmark,9.695917928726557
2033,China REE+Graphite shock,Finland,9.054669369170881
2033,Indonesia nickel shock,France,1.5705890194335816
2033,Indonesia nickel shock,Germany,2.0329753854186428
2033,Indonesia nickel shock,Italy,1.6504777117133955
2033,Indonesia nickel shock,Netherlands,1.5388339028166989
2033,Indonesia nickel shock,Spain,2.17012026725434
2033,Indonesia nickel shock,Sweden,2.24142021855856
2033,Indonesia nickel shock,Denmark,1.5163637617476353
2033,Indonesia nickel shock,Finland,1.982021368087581
2033,Lithium shock (Chile+Australia),France,5.067981933227503
2033,Lithium shock (Chile+Australia),Germany,6.3670518902619255
2033,Lithium shock (Chile+Australia),Italy,6.163444863068767
2033,Lithium shock (Chile+Australia),Netherlands,6.397119183762541
2033,Lithium shock (Chile+Australia),Spain,6.833086812938174
2033,Lithium shock (Chile+Australia),Sweden,6.280640403435714
2033,Lithium shock (Chile+Australia),Denmark,6.470897276811749
2033,Lithium shock (Chile+Australia),Finland,6.097064845624542
2033,Dual shock (China+Russia),France,7.515846012886997
2033,Dual shock (China+Russia),Germany,9.221871336860955
2033,Dual shock (China+Russia),Italy,9.636195338714927
2033,Dual shock (China+Russia),Netherlands,10.922627342753689
2033,Dual shock (China+Russia),Spain,10.422892123185482
2033,Dual shock (China+Russia),Sweden,9.359069197317561
2033,Dual shock (China+Russia),Denmark,10.24889525811562
2033,Dual shock (China+Russia),Finland,9.627293871268478
2033,Copper shock (Chile+Peru),France,3.7212545560599715
2033,Copper shock (Chile+Peru),Germany,4.597577490100394
2033,Copper shock (Chile+Peru),Italy,4.967491928444131
2033,Copper shock (Chile+Peru),Netherlands,5.432529976652339
2033,Copper shock (Chile+Peru),Spain,5.384123733551959
2033,Copper shock (Chile+Peru),Sweden,4.63510637515019
2033,Copper shock (Chile+Peru),Denmark,5.082023279716055
2033,Copper shock (Chile+Peru),Finland,4.805435934900195
2034,China REE+Graphite shock,France,7.329431182111025
2034,China REE+Graphite shock,Germany,7.837923408387593
2034,China REE+Graphite shock,Italy,7.224232768941051
2034,China REE+Graphite shock,Netherlands,10.024874872805638
2034,China REE+Graphite shock,Spain,9.973605544871917
2034,China REE+Graphite shock,Sweden,7.763168796414131
2034,China REE+Graphite shock,Denmark,7.668699639044575
2034,China REE+Graphite shock,Finland,7.485492262588445
2034,Indonesia nickel shock,France,1.2831328909548179
2034,Indonesia nickel shock,Germany,1.6572705568017225
2034,Indonesia nickel shock,Italy,1.266476858322363
2034,Indonesia nickel shock,Netherlands,1.8110436142925963
