index,resource,mean,std
0,Cobalt,0.08790137130726437,0.012138597417822307
1,Copper,0.15391820374333556,0.013196466806364354
2,Graphite,0.27932678031779035,0.013042946367266177
3,Lithium,0.12464722829104495,0.010832123390769558
4,Nickel,0.10344749105932194,0.012029097974672881
5,Rare earths,0.2507589252812426,0.014764788534968862
