seed,economy,resource,resource_channel_loss_pct,contribution_share
2027,France,Lithium,2.9310536662557736,0.13572812828557054
2027,France,Nickel,2.064888008069335,0.09561864652331283
2027,France,Cobalt,1.9145238751451867,0.08865574353793418
2027,France,Graphite,5.87289770918925,0.2719559259039895
2027,France,Rare earths,5.997647819898839,0.2777327218818195
2027,France,Copper,2.8140238142006737,0.1303088338673735
2027,Germany,Lithium,3.469024550651476,0.13339837343568198
2027,Germany,Nickel,2.43567691491199,0.09366187350939359
2027,Germany,Cobalt,2.1925443726954077,0.08431241945180168
2027,Germany,Graphite,7.14133905426691,0.27461408822056704
2027,Germany,Rare earths,7.312841182506273,0.28120905594531037
2027,Germany,Copper,3.4535727964426846,0.13280418943724542
2027,Italy,Lithium,4.093181144260682,0.13383440735519567
2027,Italy,Nickel,3.0264837134439406,0.09895668915773873
2027,Italy,Cobalt,2.6786516835555236,0.08758365387330122
2027,Italy,Graphite,8.278570491410036,0.2706837387393942
2027,Italy,Rare earths,8.444096274064876,0.2760959216462459
2027,Italy,Copper,4.062939207281875,0.13284558922812428
2027,Netherlands,Lithium,3.7334826715788165,0.1314891782055517
2027,Netherlands,Nickel,2.6871587760480797,0.09463879445862831
2027,Netherlands,Cobalt,2.388705722529205,0.0841276041861048
2027,Netherlands,Graphite,7.805212467127514,0.2748910503415624
2027,Netherlands,Rare earths,7.993073807997045,0.28150732139474555
2027,Netherlands,Copper,3.7862064321152906,0.13334605141340714
2027,Spain,Lithium,3.9038366046435047,0.13238667650427413
2027,Spain,Nickel,2.9406081702090034,0.09972173069237235
2027,Spain,Cobalt,2.5489235136089565,0.08643894373778531
2027,Spain,Graphite,7.989853995752564,0.27095145708555335
2027,Spain,Rare earths,8.146849694628628,0.27627548595882784
2027,Spain,Copper,3.95806616108163,0.13422570602118702
2027,Sweden,Lithium,3.174167747374612,0.13423193999508548
2027,Sweden,Nickel,2.344756929402152,0.09915710085293898
2027,Sweden,Cobalt,2.134575040954021,0.09026874809919475
2027,Sweden,Graphite,6.386904535137468,0.2700949207942825
2027,Sweden,Rare earths,6.529097676747558,0.27610810685481924
2027,Sweden,Copper,3.0773867877105188,0.130139183403679
2027,Denmark,Lithium,3.277010686795795,0.13320557965106042
2027,Denmark,Nickel,2.3980264871590826,0.09747618752899322
2027,Denmark,Cobalt,2.1438699211797485,0.0871451035231296
2027,Denmark,Graphite,6.689953569471486,0.2719365996122126
2027,Denmark,Rare earths,6.842504876868702,0.2781375819313281
2027,Denmark,Copper,3.2497862674817677,0.13209894775327602
2027,Finland,Lithium,3.138153469681822,0.1318658265181832
2027,Finland,Nickel,2.275749996975657,0.09562746283736548
2027,Finland,Cobalt,2.0449419736345575,0.085928864263731
2027,Finland,Graphite,6.519732194794231,0.2739604301860094
2027,Finland,Rare earths,6.668880310126648,0.28022766335097393
2027,Finland,Copper,3.150621910215709,0.13238975284373689
2028,France,Lithium,2.3556941018841346,0.13137285678277505
2028,France,Nickel,2.010465626102253,0.11212008068168702
2028,France,Cobalt,1.9658248535736726,0.10963054445056983
2028,France,Graphite,4.681110298870507,0.2610571688344516
2028,France,Rare earths,3.9169550306418466,0.2184415930122286
2028,France,Copper,3.0013109466675814,0.16737775623828785
2028,Germany,Lithium,3.0785842412457947,0.13211018415865497
2028,Germany,Nickel,2.674116228687659,0.11475339303712391
2028,Germany,Cobalt,2.5629884232961486,0.10998460528113946
2028,Germany,Graphite,6.074345509646936,0.2606662157141489
2028,Germany,Rare earths,5.09853777314395,0.21879172741991829
2028,Germany,Copper,3.814583904275584,0.16369387438901445
2028,Italy,Lithium,3.119315166507565,0.12969319001909643
2028,Italy,Nickel,2.7394277634849353,0.11389843812128254
2028,Italy,Cobalt,2.61008257331992,0.10852059412967678
2028,Italy,Graphite,6.285706493316407,0.26134368703585625
2028,Italy,Rare earths,5.246113923912695,0.21812007241243497
2028,Italy,Copper,4.05084950530364,0.16842401828165304
