sample,specification,chi_change_mean,chi_change_sd,loss_change_mean,loss_change_sd,rank_rho_chi_mean,rank_rho_loss_mean
extended_nordic_8,Battery-mineral bundle,106.89602576027305,56.79793347231215,44.85373204360842,17.7596292611912,0.06047619047619049,0.7041269841269843
extended_nordic_8,Full specification,0.0,0.0,0.0,0.0,1.0,1.0
extended_nordic_8,Infrastructure-mineral bundle,4.761682812233293,6.291448380185728,-8.321689523643537,12.353107683996027,0.9152380952380954,0.8788888888888889
extended_nordic_8,Without Cobalt,3.285757934923223,1.9221284626886335,3.636157407410832,1.118105352690923,0.9707936507936508,0.9850793650793651
extended_nordic_8,Without Copper,107.88489172270246,20.65243753527594,70.53515638101953,10.55415761718442,0.8655555555555556,0.9171428571428573
extended_nordic_8,Without Graphite,-11.218613671790012,4.054235194563982,-20.536740981773086,8.420825572255179,0.9393650793650795,0.8680952380952381
extended_nordic_8,Without Lithium,1.9622085495573711,1.5123920841291927,2.4850852187123516,1.157537333263798,0.9812698412698414,0.99
extended_nordic_8,Without Nickel,8.123113534864727,2.8292520455169385,8.819955371414647,1.96524401434845,0.9557142857142857,0.9785714285714288
extended_nordic_8,Without Rare earths,-8.116609167105919,6.4455935197725776,-14.80497838629624,12.427821556240406,0.9434920634920636,0.9206349206349207
